Question,Reponse
"Quels sont les délais de livraison France → Abidjan ?","Les délais de livraison France → Abidjan sont généralement de 5 à 7 jours ouvrés."
"Quels sont les délais de livraison Chine → Abidjan ?","Les délais de livraison Chine → Abidjan sont généralement de 7 à 10 jours ouvrés."
"Quels sont les tarifs pour envoyer un colis ?","France → Abidjan : 10 000 FCFA/kg. Chine → Abidjan : 12 000 FCFA/kg. Pour un devis précis, utilisez le formulaire sur le site."
"Quels types de colis puis-je envoyer ?","Tous les colis ordinaires acceptés en fret aérien, hors marchandises dangereuses ou interdites (ex : liquides, batteries lithium non intégrées, produits inflammables…)."
"Comment suivre mon colis ?","Un numéro de suivi vous est communiqué dès l’expédition. Vous pouvez suivre votre colis sur le site ou via WhatsApp."
"Comment vous contacter ?","Par WhatsApp au +225 07 13 91 69 46 ou par email à contact@chtransit.com."
"Comment obtenir un devis personnalisé ?","Utilisez le formulaire de devis sur la page d’accueil ou contactez-nous directement par WhatsApp."
"Quels sont les moyens de paiement acceptés ?","Nous acceptons les paiements par mobile money, virement bancaire et espèces."
"Puis-je envoyer des appareils électroniques ?","Oui, les appareils électroniques sont acceptés s’ils respectent les règles du fret aérien."
"Quels objets sont interdits ?","Les objets interdits incluent : liquides, produits inflammables, batteries lithium non intégrées, armes, médicaments sans autorisation, denrées périssables."
"Où se trouvent vos bureaux à Abidjan ?","Nos bureaux sont situés à Abidjan, Cocody. Contactez-nous pour plus de détails."
"Proposez-vous un service d’assurance colis ?","Oui, une assurance est disponible sur demande pour vos colis de valeur."
